"Nome","Obrigatoria","Valor","Professor"
"Biologia","true","100.0","Dr. Smith"
"Química","true","120.0","Dr. Johnson"
"Física","true","110.0","Dr. Brown"
"Matemática","true","130.0","Dr. White"
"História","false","90.0","Dr. Green"
"Geografia","false","80.0","Dr. Black"
"Literatura","true","95.0","Dr. Adams"
"Filosofia","true","105.0","Dr. Clark"
"Sociologia","false","85.0","Dr. Lewis"
"Artes","false","75.0","Dr. Walker"
"Música","false","70.0","Dr. Hall"
"Teatro","false","65.0","Dr. Allen"
"Robótica","true","140.0","Dr. Young"
"Computação","true","150.0","Dr. King"
"Redes","true","145.0","Dr. Wright"
"Banco de Dados","true","135.0","Dr. Lopez"
"Sistemas Operacionais","true","125.0","Dr. Hill"
"Psicologia","false","115.0","Dr. Scott"
"Economia","true","155.0","Dr. Green"
"Administração","true","160.0","Dr. Adams"
"Engenharia","true","165.0","Dr. Baker"
"Marketing","false","90.0","Dr. Nelson"
"Gestão","false","95.0","Dr. Carter"
"Contabilidade","true","170.0","Dr. Mitchell"
"Finanças","true","175.0","Dr. Perez"
